Date,Day_of_Week,Day_Type,Month,Hour,Time_Slot,Time_Period,Location,Event_Note,Two_Wheelers,Cars_and_SUVs,Auto_Rickshaws,Buses_MTC_Private,Trucks_and_LCVs,Total_Vehicles,PCU_Value,Avg_Speed_kmph,Signal_Delay_sec,Congestion_Level
2024-01-02,Tuesday,Weekday,January,1,01:00-02:00,Night,Kathipara Junction,Regular Day,13,12,2,2,1,30,28.7,29.7,27.7,Free Flow
2024-01-02,Tuesday,Weekday,January,2,02:00-03:00,Night,Kathipara Junction,Regular Day,46,40,8,9,3,106,103.8,36.4,14.8,Free Flow
2024-01-02,Tuesday,Weekday,January,3,03:00-04:00,Night,Kathipara Junction,Regular Day,11,11,2,2,1,27,26.7,28.1,26.7,Free Flow
2024-01-02,Tuesday,Weekday,January,4,04:00-05:00,Night,Kathipara Junction,Regular Day,33,25,5,4,4,71,68.5,34.1,21.0,Free Flow
2024-01-02,Tuesday,Weekday,January,5,05:00-06:00,Night,Kathipara Junction,Regular Day,85,69,14,15,17,200,215.9,28.0,17.5,Free Flow
2024-01-02,Tuesday,Weekday,January,6,06:00-07:00,Off-Peak,Kathipara Junction,Regular Day,115,91,19,20,26,271,297.9,35.3,12.8,Free Flow
2024-01-02,Tuesday,Weekday,January,7,07:00-08:00,Shoulder Hour,Kathipara Junction,Regular Day,316,258,51,47,42,714,713.6,22.9,90.7,Heavy
2024-01-02,Tuesday,Weekday,January,8,08:00-09:00,Morning Peak,Kathipara Junction,Regular Day,559,458,109,114,120,1360,1504.9,12.5,148.6,Severe
2024-01-02,Tuesday,Weekday,January,9,09:00-10:00,Morning Peak,Kathipara Junction,Regular Day,703,642,144,119,130,1738,1826.9,14.1,116.6,Severe
2024-01-02,Tuesday,Weekday,January,10,10:00-11:00,Morning Peak,Kathipara Junction,Regular Day,716,608,151,93,15,1583,1380.6,14.5,147.1,Severe
2024-01-02,Tuesday,Weekday,January,11,11:00-12:00,Midday,Kathipara Junction,Regular Day,399,362,60,53,89,963,1023.5,21.5,71.1,Severe
2024-01-02,Tuesday,Weekday,January,12,12:00-13:00,Midday,Kathipara Junction,Regular Day,356,330,55,48,100,889,985.0,19.6,71.6,Severe
2024-01-02,Tuesday,Weekday,January,13,13:00-14:00,Midday,Kathipara Junction,Regular Day,319,246,68,38,71,742,773.3,19.5,74.6,Moderate
2024-01-02,Tuesday,Weekday,January,14,14:00-15:00,Midday,Kathipara Junction,Regular Day,353,315,85,72,24,849,830.5,21.9,78.1,Severe
2024-01-02,Tuesday,Weekday,January,15,15:00-16:00,Midday,Kathipara Junction,Regular Day,421,407,76,71,42,1017,1002.1,18.1,78.0,Severe
2024-01-02,Tuesday,Weekday,January,16,16:00-17:00,Midday,Kathipara Junction,Regular Day,366,320,67,44,50,847,825.2,20.3,74.8,Heavy
2024-01-02,Tuesday,Weekday,January,17,17:00-18:00,Evening Peak,Kathipara Junction,Regular Day,877,762,202,127,66,2034,1900.7,11.8,163.0,Severe
2024-01-02,Tuesday,Weekday,January,18,18:00-19:00,Evening Peak,Kathipara Junction,Regular Day,756,630,180,124,152,1842,1944.0,14.3,143.0,Severe
2024-01-02,Tuesday,Weekday,January,19,19:00-20:00,Evening Peak,Kathipara Junction,Regular Day,879,810,161,111,141,2102,2102.1,11.3,181.0,Severe
2024-01-02,Tuesday,Weekday,January,20,20:00-21:00,Evening Peak,Kathipara Junction,Regular Day,741,649,173,114,71,1748,1678.3,15.8,185.9,Severe
2024-01-02,Tuesday,Weekday,January,21,21:00-22:00,Shoulder Hour,Kathipara Junction,Regular Day,196,152,28,36,42,454,500.8,23.5,66.7,Light
2024-01-02,Tuesday,Weekday,January,22,22:00-23:00,Off-Peak,Kathipara Junction,Regular Day,189,145,40,23,25,422,407.5,35.0,22.4,Light
2024-01-02,Tuesday,Weekday,January,23,23:00-24:00,Night,Kathipara Junction,Regular Day,28,23,4,3,7,65,69.4,34.5,21.0,Free Flow
2024-01-03,Wednesday,Weekday,January,0,00:00-01:00,Night,Kathipara Junction,Regular Day,50,41,10,9,6,116,117.0,34.6,30.9,Free Flow
2024-01-03,Wednesday,Weekday,January,1,01:00-02:00,Night,Kathipara Junction,Regular Day,52,46,9,10,6,123,125.4,35.8,22.8,Free Flow
2024-01-03,Wednesday,Weekday,January,2,02:00-03:00,Night,Kathipara Junction,Regular Day,25,19,5,5,4,58,61.5,33.6,21.1,Free Flow
2024-01-03,Wednesday,Weekday,January,3,03:00-04:00,Night,Kathipara Junction,Regular Day,69,53,13,10,6,151,143.3,29.6,23.3,Free Flow
2024-01-03,Wednesday,Weekday,January,4,04:00-05:00,Night,Kathipara Junction,Regular Day,71,64,11,11,17,174,190.1,31.4,25.4,Free Flow
2024-01-03,Wednesday,Weekday,January,5,05:00-06:00,Night,Kathipara Junction,Regular Day,12,9,2,1,1,25,22.2,34.9,29.3,Free Flow
2024-01-03,Wednesday,Weekday,January,6,06:00-07:00,Off-Peak,Kathipara Junction,Regular Day,134,127,27,25,14,327,327.2,36.6,29.2,Free Flow
2024-01-03,Wednesday,Weekday,January,7,07:00-08:00,Shoulder Hour,Kathipara Junction,Regular Day,216,167,37,34,37,491,510.2,20.5,65.7,Light
2024-01-03,Wednesday,Weekday,January,8,08:00-09:00,Morning Peak,Kathipara Junction,Regular Day,736,601,157,87,102,1683,1630.2,13.8,158.3,Severe
2024-01-03,Wednesday,Weekday,January,9,09:00-10:00,Morning Peak,Kathipara Junction,Regular Day,586,510,127,99,13,1335,1215.2,18.8,146.8,Severe
2024-01-03,Wednesday,Weekday,January,10,10:00-11:00,Morning Peak,Kathipara Junction,Regular Day,627,578,117,132,62,1516,1543.7,13.2,156.4,Severe
2024-01-03,Wednesday,Weekday,January,11,11:00-12:00,Midday,Kathipara Junction,Regular Day,334,260,57,56,46,753,767.2,23.9,79.8,Heavy
2024-01-03,Wednesday,Weekday,January,12,12:00-13:00,Midday,Kathipara Junction,Regular Day,347,282,58,44,104,835,934.3,22.9,64.1,Moderate
2024-01-03,Wednesday,Weekday,January,13,13:00-14:00,Midday,Kathipara Junction,Regular Day,353,309,67,38,7,774,660.7,20.8,69.0,Moderate
2024-01-03,Wednesday,Weekday,January,14,14:00-15:00,Midday,Kathipara Junction,Regular Day,349,312,66,51,42,820,805.1,19.3,81.4,Severe
2024-01-03,Wednesday,Weekday,January,15,15:00-16:00,Midday,Kathipara Junction,Regular Day,425,391,91,60,78,1045,1072.1,22.2,78.2,Severe
2024-01-03,Wednesday,Weekday,January,16,16:00-17:00,Midday,Kathipara Junction,Regular Day,423,370,92,82,33,1000,981.7,19.5,80.5,Severe
2024-01-03,Wednesday,Weekday,January,17,17:00-18:00,Evening Peak,Kathipara Junction,Regular Day,569,477,105,80,88,1319,1328.5,11.1,161.3,Severe
2024-01-03,Wednesday,Weekday,January,18,18:00-19:00,Evening Peak,Kathipara Junction,Regular Day,869,713,192,139,44,1957,1811.7,15.1,158.3,Severe
2024-01-03,Wednesday,Weekday,January,19,19:00-20:00,Evening Peak,Kathipara Junction,Regular Day,683,626,155,108,129,1701,1771.5,15.4,151.4,Severe
2024-01-03,Wednesday,Weekday,January,20,20:00-21:00,Evening Peak,Kathipara Junction,Regular Day,737,639,144,154,158,1832,2029.9,10.9,176.4,Severe
2024-01-03,Wednesday,Weekday,January,21,21:00-22:00,Shoulder Hour,Kathipara Junction,Regular Day,242,196,39,44,56,577,640.4,23.1,78.7,Light
2024-01-03,Wednesday,Weekday,January,22,22:00-23:00,Off-Peak,Kathipara Junction,Regular Day,84,81,20,12,10,207,201.0,35.1,13.2,Free Flow
2024-01-03,Wednesday,Weekday,January,23,23:00-24:00,Night,Kathipara Junction,Regular Day,30,24,5,5,1,65,60.0,34.0,14.4,Free Flow
2024-01-04,Thursday,Weekday,January,0,00:00-01:00,Night,Kathipara Junction,Regular Day,18,14,3,2,0,37,30.8,32.2,30.5,Free Flow
2024-01-04,Thursday,Weekday,January,1,01:00-02:00,Night,Kathipara Junction,Regular Day,33,26,6,5,0,70,61.1,28.2,14.5,Free Flow
2024-01-04,Thursday,Weekday,January,2,02:00-03:00,Night,Kathipara Junction,Regular Day,28,26,5,5,3,67,67.0,30.8,13.2,Free Flow
2024-01-04,Thursday,Weekday,January,3,03:00-04:00,Night,Kathipara Junction,Regular Day,44,33,9,6,7,99,99.4,29.1,23.2,Free Flow
2024-01-04,Thursday,Weekday,January,4,04:00-05:00,Night,Kathipara Junction,Regular Day,84,60,18,9,13,184,178.8,35.5,34.0,Free Flow
2024-01-04,Thursday,Weekday,January,5,05:00-06:00,Night,Kathipara Junction,Regular Day,57,49,8,8,17,139,157.3,32.4,26.3,Free Flow
2024-01-04,Thursday,Weekday,January,6,06:00-07:00,Off-Peak,Kathipara Junction,Regular Day,215,183,30,28,16,472,440.5,33.2,25.8,Light
2024-01-04,Thursday,Weekday,January,7,07:00-08:00,Shoulder Hour,Kathipara Junction,Regular Day,290,217,54,53,32,646,649.4,24.9,62.5,Light
2024-01-04,Thursday,Weekday,January,8,08:00-09:00,Morning Peak,Kathipara Junction,Regular Day,763,688,169,103,24,1747,1551.9,13.8,142.5,Severe
2024-01-04,Thursday,Weekday,January,9,09:00-10:00,Morning Peak,Kathipara Junction,Regular Day,714,605,119,116,205,1759,1996.4,13.1,150.6,Severe
2024-01-04,Thursday,Weekday,January,10,10:00-11:00,Morning Peak,Kathipara Junction,Regular Day,663,524,135,85,112,1519,1527.5,16.1,122.0,Severe
2024-01-04,Thursday,Weekday,January,11,11:00-12:00,Midday,Kathipara Junction,Regular Day,453,349,96,68,72,1038,1053.1,19.1,81.6,Severe
2024-01-04,Thursday,Weekday,January,12,12:00-13:00,Midday,Kathipara Junction,Regular Day,407,330,75,53,43,908,866.5,19.1,65.9,Severe
2024-01-04,Thursday,Weekday,January,13,13:00-14:00,Midday,Kathipara Junction,Regular Day,250,198,48,48,7,551,516.8,18.9,69.2,Light
2024-01-04,Thursday,Weekday,January,14,14:00-15:00,Midday,Kathipara Junction,Regular Day,365,276,53,54,88,836,916.3,18.4,72.5,Severe
2024-01-04,Thursday,Weekday,January,15,15:00-16:00,Midday,Kathipara Junction,Regular Day,312,273,53,58,34,730,736.8,23.2,67.0,Moderate
2024-01-04,Thursday,Weekday,January,16,16:00-17:00,Midday,Kathipara Junction,Regular Day,267,206,49,37,84,643,731.9,25.2,78.0,Light
2024-01-04,Thursday,Weekday,January,17,17:00-18:00,Evening Peak,Kathipara Junction,Regular Day,1100,873,222,204,102,2501,2474.2,10.7,164.6,Severe
2024-01-04,Thursday,Weekday,January,18,18:00-19:00,Evening Peak,Kathipara Junction,Regular Day,831,609,171,119,83,1813,1733.1,12.0,138.6,Severe
2024-01-04,Thursday,Weekday,January,19,19:00-20:00,Evening Peak,Kathipara Junction,Regular Day,725,580,119,145,62,1631,1634.9,11.3,172.0,Severe
2024-01-04,Thursday,Weekday,January,20,20:00-21:00,Evening Peak,Kathipara Junction,Regular Day,842,623,156,126,101,1848,1818.6,14.9,145.8,Severe
2024-01-04,Thursday,Weekday,January,21,21:00-22:00,Shoulder Hour,Kathipara Junction,Regular Day,200,190,31,27,43,491,518.6,21.2,80.1,Light
2024-01-04,Thursday,Weekday,January,22,22:00-23:00,Off-Peak,Kathipara Junction,Regular Day,145,125,32,28,25,355,375.7,27.5,15.8,Free Flow
2024-01-04,Thursday,Weekday,January,23,23:00-24:00,Night,Kathipara Junction,Regular Day,53,38,9,10,6,116,117.9,35.9,18.5,Free Flow
2024-01-05,Friday,Weekday,January,0,00:00-01:00,Night,Kathipara Junction,Regular Day,56,46,12,8,6,128,123.2,32.8,32.0,Free Flow
2024-01-05,Friday,Weekday,January,1,01:00-02:00,Night,Kathipara Junction,Regular Day,80,61,12,12,17,182,195.2,32.3,29.1,Free Flow
2024-01-05,Friday,Weekday,January,2,02:00-03:00,Night,Kathipara Junction,Regular Day,100,86,21,11,2,220,187.6,27.2,31.9,Free Flow
2024-01-05,Friday,Weekday,January,3,03:00-04:00,Night,Kathipara Junction,Regular Day,27,23,4,5,6,65,71.9,32.6,28.4,Free Flow
2024-01-05,Friday,Weekday,January,4,04:00-05:00,Night,Kathipara Junction,Regular Day,89,71,19,15,1,195,174.9,32.1,24.9,Free Flow
2024-01-05,Friday,Weekday,January,5,05:00-06:00,Night,Kathipara Junction,Regular Day,77,68,11,13,11,180,185.1,26.1,30.3,Free Flow
2024-01-05,Friday,Weekday,January,6,06:00-07:00,Off-Peak,Kathipara Junction,Regular Day,174,139,28,20,26,387,380.8,35.3,22.4,Free Flow
2024-01-05,Friday,Weekday,January,7,07:00-08:00,Shoulder Hour,Kathipara Junction,Regular Day,256,197,41,32,55,581,610.6,21.7,70.4,Light
2024-01-05,Friday,Weekday,January,8,08:00-09:00,Morning Peak,Kathipara Junction,Regular Day,811,626,178,109,150,1874,1915.3,17.8,141.7,Severe
2024-01-05,Friday,Weekday,January,9,09:00-10:00,Morning Peak,Kathipara Junction,Regular Day,545,455,120,105,15,1240,1159.5,15.3,153.1,Severe
2024-01-05,Friday,Weekday,January,10,10:00-11:00,Morning Peak,Kathipara Junction,Regular Day,636,551,104,112,137,1540,1678.4,15.8,145.0,Severe
2024-01-05,Friday,Weekday,January,11,11:00-12:00,Midday,Kathipara Junction,Regular Day,350,283,54,59,25,771,742.4,20.2,71.8,Heavy
2024-01-05,Friday,Weekday,January,12,12:00-13:00,Midday,Kathipara Junction,Regular Day,306,282,66,47,7,708,636.6,25.7,83.4,Moderate
2024-01-05,Friday,Weekday,January,13,13:00-14:00,Midday,Kathipara Junction,Regular Day,374,334,58,80,70,916,1005.8,20.3,91.6,Severe
2024-01-05,Friday,Weekday,January,14,14:00-15:00,Midday,Kathipara Junction,Regular Day,293,250,62,49,11,665,613.7,20.8,89.0,Moderate
2024-01-05,Friday,Weekday,January,15,15:00-16:00,Midday,Kathipara Junction,Regular Day,306,248,66,46,31,697,671.6,23.1,70.4,Moderate
2024-01-05,Friday,Weekday,January,16,16:00-17:00,Midday,Kathipara Junction,Regular Day,340,325,77,42,42,826,793.2,25.3,78.8,Severe
2024-01-05,Friday,Weekday,January,17,17:00-18:00,Evening Peak,Kathipara Junction,Regular Day,807,671,109,99,96,1782,1724.9,14.2,182.3,Severe
2024-01-05,Friday,Weekday,January,18,18:00-19:00,Evening Peak,Kathipara Junction,Regular Day,652,600,158,107,88,1605,1605.8,12.0,167.5,Severe
2024-01-05,Friday,Weekday,January,19,19:00-20:00,Evening Peak,Kathipara Junction,Regular Day,766,598,164,147,17,1692,1571.4,14.4,186.9,Severe
2024-01-05,Friday,Weekday,January,20,20:00-21:00,Evening Peak,Kathipara Junction,Regular Day,810,709,185,139,73,1916,1861.0,11.5,149.8,Severe
2024-01-05,Friday,Weekday,January,21,21:00-22:00,Shoulder Hour,Kathipara Junction,Regular Day,243,231,44,49,26,593,603.9,24.7,78.3,Light
2024-01-05,Friday,Weekday,January,22,22:00-23:00,Off-Peak,Kathipara Junction,Regular Day,160,134,29,30,3,356,330.4,36.9,12.7,Light
2024-01-05,Friday,Weekday,January,23,23:00-24:00,Night,Kathipara Junction,Regular Day,86,77,15,15,7,200,195.0,28.4,17.9,Free Flow
2024-01-06,Saturday,Weekend,January,0,00:00-01:00,Night,Kathipara Junction,Regular Day,14,11,2,2,0,29,25.2,26.2,16.6,Free Flow
2024-01-06,Saturday,Weekend,January,1,01:00-02:00,Night,Kathipara Junction,Regular Day,22,20,5,3,4,54,55.0,29.7,16.6,Free Flow
2024-01-06,Saturday,Weekend,January,2,02:00-03:00,Night,Kathipara Junction,Regular Day,64,52,8,11,8,143,145.8,27.3,19.1,Free Flow
2024-01-06,Saturday,Weekend,January,3,03:00-04:00,Night,Kathipara Junction,Regular Day,36,30,5,6,2,79,75.0,36.0,30.3,Free Flow
2024-01-06,Saturday,Weekend,January,4,04:00-05:00,Night,Kathipara Junction,Regular Day,55,44,11,7,3,120,108.1,36.2,13.6,Free Flow
2024-01-06,Saturday,Weekend,January,5,05:00-06:00,Night,Kathipara Junction,Regular Day,49,36,9,5,9,108,107.9,31.7,26.4,Free Flow
2024-01-06,Saturday,Weekend,January,6,06:00-07:00,Off-Peak,Kathipara Junction,Regular Day,96,87,17,17,2,219,202.2,34.2,26.0,Free Flow
2024-01-06,Saturday,Weekend,January,7,07:00-08:00,Shoulder Hour,Kathipara Junction,Regular Day,292,236,60,54,11,653,613.0,20.8,69.5,Moderate
2024-01-06,Saturday,Weekend,January,8,08:00-09:00,Morning Peak,Kathipara Junction,Regular Day,475,425,78,67,132,1177,1306.3,18.8,157.7,Severe
2024-01-06,Saturday,Weekend,January,9,09:00-10:00,Morning Peak,Kathipara Junction,Regular Day,547,499,81,72,122,1321,1403.1,15.2,141.8,Severe
2024-01-06,Saturday,Weekend,January,10,10:00-11:00,Morning Peak,Kathipara Junction,Regular Day,436,337,84,59,90,1006,1052.4,15.9,142.6,Severe
2024-01-06,Saturday,Weekend,January,11,11:00-12:00,Midday,Kathipara Junction,Regular Day,288,234,60,49,26,657,639.0,18.5,83.0,Light
2024-01-06,Saturday,Weekend,January,12,12:00-13:00,Midday,Kathipara Junction,Regular Day,365,325,69,45,9,813,710.9,21.9,97.0,Severe
2024-01-06,Saturday,Weekend,January,13,13:00-14:00,Midday,Kathipara Junction,Regular Day,347,299,74,61,14,795,741.9,20.2,65.2,Moderate
2024-01-06,Saturday,Weekend,January,14,14:00-15:00,Midday,Kathipara Junction,Regular Day,435,381,69,63,30,978,918.9,20.6,67.4,Severe
2024-01-06,Saturday,Weekend,January,15,15:00-16:00,Midday,Kathipara Junction,Regular Day,419,307,63,54,70,913,926.3,23.9,79.1,Severe
2024-01-06,Saturday,Weekend,January,16,16:00-17:00,Midday,Kathipara Junction,Regular Day,353,307,66,59,94,879,982.1,24.1,94.8,Severe
2024-01-06,Saturday,Weekend,January,17,17:00-18:00,Evening Peak,Kathipara Junction,Regular Day,459,380,87,57,161,1144,1315.7,13.6,183.0,Severe
2024-01-06,Saturday,Weekend,January,18,18:00-19:00,Evening Peak,Kathipara Junction,Regular Day,452,382,72,84,36,1026,1011.2,11.5,155.2,Severe
2024-01-06,Saturday,Weekend,January,19,19:00-20:00,Evening Peak,Kathipara Junction,Regular Day,565,475,130,70,74,1314,1267.5,13.7,143.5,Severe
2024-01-06,Saturday,Weekend,January,20,20:00-21:00,Evening Peak,Kathipara Junction,Regular Day,375,306,63,55,117,916,1047.3,13.9,135.7,Severe
2024-01-06,Saturday,Weekend,January,21,21:00-22:00,Shoulder Hour,Kathipara Junction,Regular Day,299,274,56,47,58,734,772.1,18.2,75.1,Heavy
2024-01-06,Saturday,Weekend,January,22,22:00-23:00,Off-Peak,Kathipara Junction,Regular Day,192,163,32,23,36,446,455.2,37.2,17.7,Light
2024-01-06,Saturday,Weekend,January,23,23:00-24:00,Night,Kathipara Junction,Regular Day,44,35,7,6,2,94,85.2,31.2,17.7,Free Flow
2024-01-07,Sunday,Weekend,January,0,00:00-01:00,Night,Kathipara Junction,Regular Day,44,38,6,5,3,96,87.6,28.0,18.0,Free Flow
2024-01-07,Sunday,Weekend,January,1,01:00-02:00,Night,Kathipara Junction,Regular Day,80,63,12,12,23,190,215.2,27.5,11.3,Free Flow
2024-01-07,Sunday,Weekend,January,2,02:00-03:00,Night,Kathipara Junction,Regular Day,17,14,3,3,1,38,36.3,34.8,33.5,Free Flow
2024-01-07,Sunday,Weekend,January,3,03:00-04:00,Night,Kathipara Junction,Regular Day,21,17,4,3,3,48,47.9,35.4,16.5,Free Flow
2024-01-07,Sunday,Weekend,January,4,04:00-05:00,Night,Kathipara Junction,Regular Day,35,31,7,4,3,80,73.7,36.1,31.7,Free Flow
2024-01-07,Sunday,Weekend,January,5,05:00-06:00,Night,Kathipara Junction,Regular Day,62,52,14,9,6,143,136.4,36.9,22.8,Free Flow
2024-01-07,Sunday,Weekend,January,6,06:00-07:00,Off-Peak,Kathipara Junction,Regular Day,202,173,35,26,4,440,385.0,29.1,34.9,Light
2024-01-07,Sunday,Weekend,January,7,07:00-08:00,Shoulder Hour,Kathipara Junction,Regular Day,202,172,35,38,26,473,486.0,23.9,57.5,Light
2024-01-07,Sunday,Weekend,January,8,08:00-09:00,Morning Peak,Kathipara Junction,Regular Day,441,391,65,95,86,1078,1193.5,15.0,109.9,Severe
2024-01-07,Sunday,Weekend,January,9,09:00-10:00,Morning Peak,Kathipara Junction,Regular Day,383,299,64,47,139,932,1086.9,17.1,105.7,Heavy
2024-01-07,Sunday,Weekend,January,10,10:00-11:00,Morning Peak,Kathipara Junction,Regular Day,346,268,53,50,95,812,907.8,15.3,143.7,Severe
2024-01-07,Sunday,Weekend,January,11,11:00-12:00,Midday,Kathipara Junction,Regular Day,346,322,77,58,10,813,745.2,20.3,61.0,Moderate
2024-01-07,Sunday,Weekend,January,12,12:00-13:00,Midday,Kathipara Junction,Regular Day,429,312,56,54,84,935,974.1,21.4,86.4,Severe
2024-01-07,Sunday,Weekend,January,13,13:00-14:00,Midday,Kathipara Junction,Regular Day,283,252,60,45,24,664,636.5,23.2,87.1,Moderate
2024-01-07,Sunday,Weekend,January,14,14:00-15:00,Midday,Kathipara Junction,Regular Day,357,300,57,68,25,807,791.7,24.7,86.5,Severe
2024-01-07,Sunday,Weekend,January,15,15:00-16:00,Midday,Kathipara Junction,Regular Day,372,274,52,63,92,853,956.2,26.0,82.1,Severe
2024-01-07,Sunday,Weekend,January,16,16:00-17:00,Midday,Kathipara Junction,Regular Day,452,353,75,80,35,995,969.0,22.8,78.0,Severe
2024-01-07,Sunday,Weekend,January,17,17:00-18:00,Evening Peak,Kathipara Junction,Regular Day,631,567,116,113,92,1519,1567.1,10.5,178.8,Severe
2024-01-07,Sunday,Weekend,January,18,18:00-19:00,Evening Peak,Kathipara Junction,Regular Day,413,371,79,79,15,957,906.9,11.4,169.8,Severe
2024-01-07,Sunday,Weekend,January,19,19:00-20:00,Evening Peak,Kathipara Junction,Regular Day,631,455,122,93,115,1416,1467.7,10.3,179.1,Severe
2024-01-07,Sunday,Weekend,January,20,20:00-21:00,Evening Peak,Kathipara Junction,Regular Day,505,434,107,101,90,1237,1323.7,16.9,161.3,Severe
2024-01-07,Sunday,Weekend,January,21,21:00-22:00,Shoulder Hour,Kathipara Junction,Regular Day,201,189,43,39,28,500,516.3,23.3,70.0,Light
2024-01-07,Sunday,Weekend,January,22,22:00-23:00,Off-Peak,Kathipara Junction,Regular Day,124,91,26,17,20,278,279.6,36.6,34.0,Free Flow
2024-01-07,Sunday,Weekend,January,23,23:00-24:00,Night,Kathipara Junction,Regular Day,62,52,11,10,18,153,173.6,28.0,29.9,Free Flow
2024-01-08,Monday,Weekday,January,0,00:00-01:00,Night,Kathipara Junction,Regular Day,36,27,6,7,5,81,84.6,29.5,11.0,Free Flow
2024-01-08,Monday,Weekday,January,1,01:00-02:00,Night,Kathipara Junction,Regular Day,75,57,13,12,19,176,195.3,27.0,16.0,Free Flow
2024-01-08,Monday,Weekday,January,2,02:00-03:00,Night,Kathipara Junction,Regular Day,61,53,10,11,1,136,125.5,27.9,11.5,Free Flow
2024-01-08,Monday,Weekday,January,3,03:00-04:00,Night,Kathipara Junction,Regular Day,36,28,7,4,7,82,83.2,30.6,14.8,Free Flow
2024-01-08,Monday,Weekday,January,4,04:00-05:00,Night,Kathipara Junction,Regular Day,69,55,14,10,1,149,130.9,35.7,13.3,Free Flow
2024-01-08,Monday,Weekday,January,5,05:00-06:00,Night,Kathipara Junction,Regular Day,11,9,1,1,2,24,24.1,30.6,22.1,Free Flow
